FID,site_id,site_name,lat,long
0,1,moghbazar,23.747299999999999,90.411569999999998
1,2,khilgaon,23.749630000000000,90.419439999999994
2,3,khilgaon_college,23.749669999999998,90.425569999999993
3,4,shahid_baki rd,23.750920000000001,90.424149999999997
4,5,riazbag_cemetery,23.752630000000000,90.426299999999998
5,6,rampura_bou_bazar,23.757860000000001,90.421769999999995
6,7,hazipara_balur_math,23.756769999999999,90.418629999999993
7,8,dit_road,23.758279999999999,90.417959999999994
8,9,rampura_supermarket,23.760050000000000,90.418440000000004
9,10,bd_tv_bhaban,23.765270000000001,90.422439999999995
10,11,banasree_road2,23.765070000000001,90.426479999999998
11,12,aftabnagar,23.767189999999999,90.428420000000003
12,13,aust,23.765640000000001,90.407079999999993
13,14,hatirjheel_bridge2,23.767949999999999,90.413020000000003
14,15,fazle_rabbi_park,23.774170000000002,90.414980000000000
15,16,ramna_park,23.734610000000000,90.402889999999999
16,17,eskaton_garden_rd,23.744450000000001,90.397170000000003
17,18,gulistan,23.719339999999999,90.416659999999993
18,19,chandrima_park,23.765400000000000,90.378159999999994
19,20,dhanmondi_lake_park,23.747180000000000,90.378760000000000
20,21,azimpur_colony,23.727290000000000,90.384169999999997
21,22,mirpur_dohs,23.836990000000000,90.374240000000000
22,23,kafrul,23.790320000000001,90.386579999999995
23,24,mirpur_6,23.812040000000000,90.362589999999997
24,25,lalbag,23.720009999999998,90.387050000000002
25,26,shimanto_square,23.738430000000001,90.375749999999996
26,27,agashadek_Rroad,23.719780000000000,90.403540000000007
27,28,square_hospital,23.752389999999998,90.381119999999996
28,29,shangsad_bhaban,23.758400000000002,90.380060000000000
29,30,mirpur_milk_vita,23.818909999999999,90.361080000000001
30,31,elephant_road,23.739550000000001,90.389120000000005
31,32,shewrapara,23.788660000000000,90.375789999999995
32,33,mirpur_monipur,23.799959999999999,90.366489999999999
33,34,mirpur_paikpara,23.786850000000001,90.361760000000004
34,35,new_market,23.732530000000001,90.383830000000003
35,36,farmgate,23.757030000000000,90.390280000000004
36,37,mirpur_1,23.799530000000001,90.354439999999997
37,38,mirpur_10,23.807780000000001,90.368570000000005
38,39,kochukhetmmarket,23.792059999999999,90.388159999999999
39,40,buet,23.726310000000002,90.392529999999994
40,41,mohammadpur,23.764489999999999,90.357939999999999
41,42,uttara_sector_1,23.856290000000001,90.401390000000006
42,43,uttara_sector_7,23.869800000000001,90.400049999999993
43,44,baridhara,23.805040000000002,90.424139999999994
44,45,us_embassy,23.797440000000002,90.422719999999998
45,46,airport,23.853190000000001,90.405980000000000
46,47,tsc_du,23.732540000000000,90.395139999999998
47,48,jamuna_future_park,23.813110000000002,90.421040000000005
48,49,technical,23.782240000000002,90.351969999999994
49,50,mouchak_market,23.746810000000000,90.411450000000002